source_port,destination_port,packet_size,protocol,label
443,80,512,TCP,benign
80,443,1024,TCP,benign
22,22,256,TCP,benign
53,53,128,UDP,benign
443,443,1500,TCP,benign
80,80,768,TCP,benign
123,123,128,UDP,benign
25,25,512,TCP,benign
110,110,512,TCP,benign
993,993,1024,TCP,benign
4444,4444,65535,TCP,attack
31337,31337,60000,TCP,attack
12345,12345,50000,TCP,attack
6667,6667,45000,TCP,attack
4444,80,60000,TCP,attack
9999,9999,55000,UDP,attack
1234,1234,65000,TCP,attack
5555,5555,50000,TCP,attack
6666,6666,62000,UDP,attack
7777,7777,64000,TCP,attack
